2025-02-27 20:10:57,690 [ERROR]  139 произошла ошибка Expecting value: line 1 column 1 (char 0)
2025-02-27 20:48:11,243 [INFO]  84 0
2025-02-27 20:48:11,253 [INFO]  84 0
2025-02-27 20:48:11,263 [INFO]  84 0
2025-02-27 20:48:11,273 [INFO]  84 0
2025-02-27 20:48:11,283 [INFO]  84 0
2025-02-27 20:48:11,293 [INFO]  84 0
2025-02-27 20:48:11,303 [INFO]  84 0
2025-02-27 20:48:11,313 [INFO]  84 0
2025-02-27 20:48:11,324 [INFO]  84 0
2025-02-27 20:48:11,334 [INFO]  84 0
2025-02-27 20:48:11,344 [INFO]  84 0
2025-02-27 20:48:11,354 [INFO]  84 0
2025-02-27 20:48:11,364 [INFO]  84 0
2025-02-27 20:48:11,374 [INFO]  84 0
2025-02-27 20:48:11,384 [INFO]  84 0
2025-02-27 20:48:11,394 [INFO]  84 0
2025-02-27 20:48:11,404 [INFO]  84 0
2025-02-27 20:48:11,414 [INFO]  84 0
2025-02-27 20:48:11,425 [INFO]  84 0
2025-02-27 20:48:11,435 [INFO]  84 0
2025-02-27 20:48:11,445 [INFO]  84 0
2025-02-27 20:48:11,455 [INFO]  84 0
2025-02-27 20:48:11,465 [INFO]  84 0
2025-02-27 20:48:11,475 [INFO]  84 0
2025-02-27 20:48:11,485 [INFO]  84 0
2025-02-27 20:48:11,495 [INFO]  84 0
2025-02-27 20:48:11,505 [INFO]  84 0
2025-02-27 20:48:11,515 [INFO]  84 0
2025-02-27 20:48:11,526 [INFO]  84 0
2025-02-27 20:48:11,536 [INFO]  84 0
2025-02-27 20:48:11,546 [INFO]  84 0
2025-02-27 20:48:11,556 [INFO]  84 0
2025-02-27 20:48:11,566 [INFO]  84 0
2025-02-27 20:48:11,576 [INFO]  84 0
2025-02-27 20:48:11,586 [INFO]  84 0
2025-02-27 20:48:11,595 [INFO]  84 0
2025-02-27 20:48:11,605 [INFO]  84 0
2025-02-27 20:48:11,616 [INFO]  84 0
2025-02-27 20:48:11,626 [INFO]  84 0
2025-02-27 20:48:11,635 [INFO]  84 0
2025-02-27 20:48:11,646 [INFO]  84 0
2025-02-27 20:48:11,656 [INFO]  84 0
2025-02-27 20:48:11,666 [INFO]  84 0
2025-02-27 20:48:11,676 [INFO]  84 0
2025-02-27 20:48:11,686 [INFO]  84 0
2025-02-27 20:48:11,696 [INFO]  84 0
2025-02-27 20:48:11,706 [INFO]  84 0
2025-02-27 20:48:11,716 [INFO]  84 0
2025-02-27 20:48:11,727 [INFO]  84 0
2025-02-27 20:48:11,737 [INFO]  84 0
2025-02-27 20:48:11,747 [INFO]  84 0
